Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
H-ZBaF3,657511,1.75551746E-01,3.60804664E-02,1.51566987E+00,8.23043679E-03,1.11140587E+00,1.13991537E+02,,,,,,,75,B,29 ,H-ZBaF3,,,,,,,,,,,,,,,,,,,,,
H-F3,617367,1.40512926E+00,1.03407899E-02,1.40987722E-01,5.61355281E-02,1.52292764E+00,1.49776911E+02,,,,,,,74,D,29 ,H-F3,,,,,,,,,,,,,,,,,,,,,
H-BaK4,552634,5.59279457E-01,1.72756270E-03,9.85286498E-01,9.78673314E+01,8.18059461E-01,1.35929957E-02,,,,,,,61,C,29 ,H-BaK4,,,,,,,,,,,,,,,,,,,,,
H-LaF2,717479,1.62865121E+00,8.64219294E-03,1.11837078E+00,1.09900598E+02,2.53252293E-01,3.42503107E-02,,,,,,,74,A,30 ,H-LaF2,,,,,,,,,,,,,,,,,,,,,
H-BaK3,547628,6.35128580E-01,2.55407022E-03,9.20839763E-01,9.29065095E+01,7.24654326E-01,1.43580146E-02,,,,,,,62,C,31 ,H-BaK3,,,,,,,,,,,,,,,,,,,,,
H-ZK2,583595,4.27442699E-01,1.91755139E-02,9.07023646E-01,9.46355569E+01,1.04012009E+00,5.52619449E-03,,,,,,,61,D,31 ,H-ZK2,,,,,,,,,,,,,,,,,,,,,
H-LaF3B,744449,1.66486969E+00,8.95646712E-03,3.01622480E-01,3.50299695E-02,1.19738880E+00,1.23334438E+02,,,,,,,80,MA,33 ,H-LaF3B,,,,,,,,,,,,,,,,,,,,,
H-BaK5,561583,8.58085903E-01,1.01018871E+02,3.80070290E-01,2.03677495E-02,1.01787547E+00,5.64515890E-03,,,,,,,76,D,33 ,H-BaK5,,,,,,,,,,,,,,,,,,,,,
H-ZBaF16,667484,1.82247640E-01,3.68484589E-02,1.53664805E+00,8.85647420E-03,1.23072170E+00,1.34124694E+02,,,,,,,71,B,33 ,H-ZBaF16,,,,,,,,,,,,,,,,,,,,,
H-ZK4,609589,8.05862971E-01,3.65339732E-03,7.40367110E-01,1.62978769E-02,9.04054991E-01,9.59876087E+01,,,,,,,63,D,33 ,H-ZK4,,,,,,,,,,,,,,,,,,,,,
H-ZF10,689312,1.50060292E+00,1.45496272E+02,1.57641199E+00,1.21805144E-02,1.83076270E-01,6.05139545E-02,,,,,,,91,A,34 ,H-ZF10,,,,,,,,,,,,,,,,,,,,,
H-LaK2A,692545,9.14808038E-01,8.23260698E+01,1.00522491E+00,4.50504400E-03,8.03415958E-01,1.83713420E-02,,,,,,,80,B,34 ,H-LaK2A,,,,,,,,,,,,,,,,,,,,,
H-LaF50B,773496,1.17461263E+00,8.26267633E+01,1.65889744E+00,8.05128060E-03,4.13174064E-01,2.69612640E-02,,,,,,,58,MA,34 ,H-LaF50B,,,,,,,,,,,,,,,,,,,,,
H-ZK5,611558,9.20219055E-01,1.09361864E+02,5.31425413E-01,1.98985689E-02,1.01909144E+00,5.25819605E-03,,,,,,,86,D,35 ,H-ZK5,,,,,,,,,,,,,,,,,,,,,
QF5,582420,,,,,,,2.44405940E+00,-6.79746310E-03,2.14253870E-02,-3.85446490E-04,1.21952440E-04,-4.21622360E-06,83,D,35 ,QF5,,,,,,,,,,,,,,,,,,,,,
H-ZBaF5,671473,2.65135611E-01,3.42928637E-02,1.46645391E+00,7.99326644E-03,1.68212208E+00,1.79124162E+02,,,,,,,68,D,35 ,H-ZBaF5,,,,,,,,,,,,,,,,,,,,,
H-K10,518590,2.31760668E-01,2.37840711E-02,1.03993508E+00,6.15271269E-03,9.66966878E-01,1.17740117E+02,,,,,,,90,B,36 ,H-K10,,,,,,,,,,,,,,,,,,,,,
H-ZF11,699301,1.59868051E+00,1.26057844E-02,1.89448887E-01,6.17894718E-02,1.26870155E+00,1.21376823E+02,,,,,,,90,A,36 ,H-ZF11,,,,,,,,,,,,,,,,,,,,,
H-KF6,517522,7.36995941E-02,4.78548878E-02,1.19277164E+00,7.81132706E-03,1.01749455E+00,1.04241959E+02,,,,,,,70,B,36 ,H-KF6,,,,,,,,,,,,,,,,,,,,,
H-ZK50GT,607567,4.34311306E-01,-1.92252587E-03,1.10560033E+00,1.47271072E-02,9.88776159E-01,1.10411650E+02,,,,,,,68,B,36 ,H-ZK50GT,,,,,,,,,,,,,,,,,,,,,
ZBaF51,683445,,,,,,,2.75901640E+00,-5.81805260E-03,2.66099460E-02,-7.54859940E-04,1.76404590E-04,-6.72711730E-06,78,D,37 ,ZBaF51,,,,,,,,,,,,,,,,,,,,,
H-ZLaF50E,804466,1.22239213E+00,4.45444481E-03,9.52859931E-01,2.29973985E-02,1.37994067E+00,9.91991267E+01,,,,,,,62,MA,38 ,H-ZLaF50E,,,,,,,,,,,,,,,,,,,,,
H-ZBaF1,622532,1.05607188E+00,1.14460233E+02,1.45456542E+00,8.40268049E-03,1.29035718E-01,3.63054290E-02,,,,,,,60,D,38 ,H-ZBaF1,,,,,,,,,,,,,,,,,,,,,
QF3,575413,,,,,,,2.42455090E+00,-7.97140570E-03,1.91498920E-02,3.55050980E-04,1.39418820E-05,1.70577200E-06,93,D,40 ,QF3,,,,,,,,,,,,,,,,,,,,,
H-QF3,575415,1.31974395E+00,9.62233830E-03,1.06724103E-01,5.34250071E-02,1.12240441E+00,1.21814727E+02,,,,,,,90,C,41 ,H-QF3,,,,,,,,,,,,,,,,,,,,,
H-ZF5,740283,1.70024855E+00,1.33277515E-02,1.36322884E+00,1.22333810E+02,2.14513422E-01,6.35762871E-02,,,,,,,89,MA,41 ,H-ZF5,,,,,,,,,,,,,,,,,,,,,
H-ZF6,755275,1.64768548E+00,1.18179362E-02,3.14478021E-01,5.85408205E-02,2.03864924E+00,1.73964477E+02,,,,,,,87,MA,41 ,H-ZF6,,,,,,,,,,,,,,,,,,,,,
H-QF50A,581408,1.13568363E-01,5.29496322E-02,1.07619407E+00,1.14277366E+02,1.33131033E+00,9.76687365E-03,,,,,,,85,B,41 ,H-QF50A,,,,,,,,,,,,,,,,,,,,,
H-QF50,581409,1.29450546E+00,8.94503808E-03,1.50752291E-01,4.83713581E-02,1.08698065E+00,1.13959763E+02,,,,,,,77,B,41 ,H-QF50,,,,,,,,,,,,,,,,,,,,,
D-ZK2A,583595,7.12027143E-01,2.71554778E-03,7.55933735E-01,1.57695219E-02,1.03451888E+00,1.02738117E+02,,,,,,,66,A,41 ,D-ZK2A,,,,,,,,,,,,,,,,,,,,,
D-ZK2A-25,582595,7.27489738E-01,1.59824715E-02,7.37820290E-01,3.01481108E-03,1.06057574E+00,1.05478633E+02,,,,,,,66,A,41 ,D-ZK2A-25,,,,,,,,,,,,,,,,,,,,,
ZBaF2,640483,,,,,,,2.63241470E+00,-8.72517620E-03,1.91243020E-02,4.48593310E-04,-1.74732950E-05,2.86011450E-06,61,D,41 ,ZBaF2,,,,,,,,,,,,,,,,,,,,,
D-ZK3A,589611,6.01894946E-01,1.49574610E-03,8.86579018E-01,1.42973367E-02,1.12372824E+00,9.58496651E+01,,,,,,,59,A,41 ,D-ZK3A,,,,,,,,,,,,,,,,,,,,,
D-ZK3A-25,588610,6.00125686E-01,1.50823603E-03,8.85665979E-01,1.42989412E-02,1.12367562E+00,9.58973607E+01,,,,,,,59,A,41 ,D-ZK3A-25,,,,,,,,,,,,,,,,,,,,,
H-QF56,567428,1.01193506E+00,1.16639064E+02,1.10711906E-01,5.11036720E-02,1.29397308E+00,9.23739628E-03,,,,,,,94,C,43 ,H-QF56,,,,,,,,,,,,,,,,,,,,,
H-ZK8,614551,6.00949826E-01,5.19864453E-11,9.58288632E-01,1.67563008E-02,1.14059780E+00,1.33109431E+02,,,,,,,86,D,43 ,H-ZK8,,,,,,,,,,,,,,,,,,,,,
H-QF6A,532488,8.30014908E-02,4.93974056E-02,1.22223237E+00,8.30688707E-03,1.01475439E+00,1.14773547E+02,,,,,,,86,B,43 ,H-QF6A,,,,,,,,,,,,,,,,,,,,,
H-F5,624359,1.43541709E+00,1.08394789E-02,1.33104631E-01,5.81528460E-02,1.22151860E+00,1.20768299E+02,,,,,,,78,D,43 ,H-F5,,,,,,,,,,,,,,,,,,,,,
